Region,Priority,Risk_Score,Total_Reports,Negative_Reports,Mean_Sentiment,Allocation_Percentage,Total_Allocation_USD,Emergency_Relief_USD,Medical_Supplies_USD,Rescue_Equipment_USD,Rehabilitation_USD
 Kerala,CRITICAL,0.512989,3988,585,-2.29145,0.052133363383520995,52133.36338352099,20853.345353408396,13033.340845880248,7820.004507528149,10426.672676704198
 Kerala,MEDIUM,0.202051,3,3,-6.41026,0.02762798933037349,27627.98933037349,11051.195732149397,6906.997332593372,4144.198399556023,5525.597866074699
 Kerala,LOW,0.195985,1,1,-6.18785,0.026777187020631067,26777.187020631067,10710.874808252427,6694.296755157767,4016.57805309466,5355.437404126214
 Kerala,LOW,0.186217,2,2,-5.69307,0.02511941474897674,25119.414748976742,10047.765899590697,6279.8536872441855,3767.9122123465113,5023.882949795348
 Kerala,LOW,0.172829,3,1,-5.09171,0.023016965358908903,23016.965358908903,9206.786143563562,5754.241339727226,3452.544803836335,4603.393071781781
 Kerala,LOW,0.171284,5,3,-4.95383,0.022629205400231816,22629.205400231815,9051.682160092727,5657.301350057954,3394.380810034772,4525.8410800463635
 Kerala,LOW,0.161952,6,0,-4.60922,0.021331127084342094,21331.127084342093,8532.450833736837,5332.781771085523,3199.669062651314,4266.2254168684185
 Kerala,LOW,0.160747,1,0,-4.55218,0.021115094818377894,21115.094818377893,8446.037927351157,5278.773704594473,3167.264222756684,4223.018963675579
 Kerala,HIGH,0.157983,47,12,-4.03294,0.0199830460681513,19983.046068151303,7993.218427260522,4995.761517037826,2997.4569102226956,3996.609213630261
 Kerala,LOW,0.156954,2,0,-4.37262,0.020501820092133905,20501.820092133905,8200.728036853563,5125.455023033476,3075.2730138200855,4100.3640184267815
 Kerala,LOW,0.154796,1,0,-4.27046,0.02014664188617393,20146.64188617393,8058.656754469572,5036.660471543482,3021.9962829260894,4029.328377234786
 Kerala,MEDIUM,0.154253,27,10,-3.92107,0.019440484243077077,19440.484243077077,7776.193697230831,4860.121060769269,2916.0726364615616,3888.0968486154156
 Kerala,HIGH,0.153853,73,19,-3.61087,0.0189096559068595,18909.6559068595,7563.862362743801,4727.413976714875,2836.448386028925,3781.9311813719005
 Kerala,LOW,0.152391,6,2,-4.09189,0.01963094962048826,19630.94962048826,7852.3798481953045,4907.737405122065,2944.642443073239,3926.1899240976522
 Kerala,HIGH,0.151507,156,29,-3.17615,0.01813751026402433,18137.510264024328,7255.004105609732,4534.377566006082,2720.6265396036492,3627.502052804866
 Kerala,HIGH,0.148723,173,36,-2.81777,0.017247191531076088,17247.19153107609,6898.876612430436,4311.797882769022,2587.078729661413,3449.438306215218
 Kerala,LOW,0.148371,6,0,-3.96635,0.019121117762228308,19121.117762228307,7648.447104891323,4780.279440557077,2868.1676643342457,3824.2235524456614
 Kerala,HIGH,0.147246,226,27,-3.03917,0.017867606580252465,17867.606580252464,7147.042632100986,4466.901645063116,2680.1409870378698,3573.521316050493
 Kerala,LOW,0.142699,4,0,-3.69781,0.018190021748699183,18190.021748699182,7276.008699479673,4547.505437174796,2728.5032623048774,3638.0043497398365
 Kerala,HIGH,0.140433,220,35,-2.45772,0.016157798442059525,16157.798442059526,6463.119376823811,4039.4496105148814,2423.669766308929,3231.5596884119054
 Kerala,LOW,0.140374,8,2,-3.52303,0.017683366539124973,17683.366539124974,7073.34661564999,4420.841634781244,2652.504980868746,3536.673307824995
 Kerala,HIGH,0.140155,138,27,-2.70353,0.01636272460837454,16362.72460837454,6545.089843349816,4090.681152093635,2454.4086912561806,3272.544921674908
 Kerala,HIGH,0.136883,75,12,-3.03413,0.01666112330891554,16661.12330891554,6664.449323566216,4165.280827228885,2499.168496337331,3332.224661783108
 Kerala,HIGH,0.136186,140,26,-2.54798,0.01579688124525603,15796.881245256029,6318.752498102412,3949.220311314007,2369.532186788404,3159.376249051206
 Kerala,LOW,0.135968,2,0,-3.37922,0.01708679227621584,17086.792276215838,6834.716910486335,4271.698069053959,2563.0188414323757,3417.3584552431676
 Kerala,LOW,0.135472,2,1,-3.32337,0.01693392163682012,16933.92163682012,6773.568654728048,4233.48040920503,2540.088245523018,3386.784327364024
 Kerala,LOW,0.135106,1,0,-3.33839,0.016942466334828713,16942.466334828714,6776.986533931486,4235.6165837071785,2541.369950224307,3388.493266965743
 Kerala,LOW,0.133946,12,0,-3.28349,0.016797604221790153,16797.604221790152,6719.041688716061,4199.401055447538,2519.640633268523,3359.5208443580304
 Kerala,HIGH,0.133625,186,17,-2.71809,0.016213031700180108,16213.031700180107,6485.212680072043,4053.2579250450267,2431.954755027016,3242.6063400360217
 Kerala,LOW,0.131999,5,0,-3.19132,0.016452833278553,16452.833278553,6581.1333114212,4113.20831963825,2467.9249917829497,3290.5666557106
 Kerala,MEDIUM,0.130014,37,6,-2.90318,0.01582464282009867,15824.64282009867,6329.857128039468,3956.1607050246675,2373.6964230148005,3164.928564019734
 Kerala,LOW,0.129235,47,0,-3.06048,0.016170579781958423,16170.579781958422,6468.231912783369,4042.6449454896056,2425.5869672937633,3234.1159563916844
 Kerala,LOW,0.128194,2,0,-3.01122,0.015821719643529814,15821.719643529814,6328.6878574119255,3955.4299108824534,2373.257946529472,3164.3439287059628
 Kerala,HIGH,0.126885,542,32,-1.91354,0.015454101552467745,15454.101552467744,6181.640620987098,3863.525388116936,2318.1152328701614,3090.820310493549
 Kerala,LOW,0.126368,1,0,-2.92479,0.015520603000833596,15520.603000833597,6208.241200333439,3880.150750208399,2328.0904501250393,3104.1206001667197
 Kerala,HIGH,0.126079,121,11,-2.55507,0.015158624831907167,15158.624831907167,6063.449932762867,3789.656207976792,2273.793724786075,3031.7249663814337
 Kerala,LOW,0.125089,19,0,-2.86426,0.0153843061602911,15384.3061602911,6153.72246411644,3846.076540072775,2307.6459240436648,3076.86123205822
