GLOBALEVENTID,SQLDATE,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,SOURCEURL
779412593,20180815,-3.42465753424658,6,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779413047,20180815,-3.42465753424658,10,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779413074,20180815,-3.42465753424658,2,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779413575,20180815,-3.42465753424658,10,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414749,20180815,-3.42465753424658,8,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414750,20180815,-3.42465753424658,2,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414754,20180815,-3.42465753424658,2,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414756,20180815,-3.42465753424658,4,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414757,20180815,-3.42465753424658,6,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779414759,20180815,-3.42465753424658,4,10.0,76.5,"Kerala, Kerala, India",http://twocircles.net/2018aug14/425323.html
779427718,20180815,-4.3859649122807,5,10.0,76.5,"Kerala, Kerala, India",http://www.lankaweb.com/news/items/2018/08/14/yahapalana-government-social-inclusion-and-anti-discrimination-law-part-1/
779427720,20180815,-4.3859649122807,5,10.0,76.5,"Kerala, Kerala, India",http://www.lankaweb.com/news/items/2018/08/14/yahapalana-government-social-inclusion-and-anti-discrimination-law-part-1/
779439237,20180815,-5.35334543568464,6,9.96667,76.2333,"Cochin, Kerala, India",https://www.business-standard.com/article/pti-stories/cochin-airport-suspends-operations-till-afternoon-118081500073_1.html
779439238,20180815,-5.39419087136929,2,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/pti-stories/cochin-airport-suspends-operations-till-afternoon-118081500073_1.html
779439245,20180815,-3.21909084451031,57,9.96667,76.2333,"Cochin, Kerala, India",https://www.business-standard.com/article/pti-stories/cochin-airport-suspends-operations-till-afternoon-118081500073_1.html
779441189,20180815,-0.922872961251605,18,10.0,76.5,"Kerala, Kerala, India",https://www.khaleejtimes.com/nation/umm-al-quwain/indian-seeks-amnesty-from-a-hospital-bed-in-uae
779441190,20180815,-1.9127584902458,6,9.26667,76.7833,"Pathanamthitta, Kerala, India",https://www.khaleejtimes.com/nation/umm-al-quwain/indian-seeks-amnesty-from-a-hospital-bed-in-uae
779442034,20180815,-1.9127584902458,24,10.0,76.5,"Kerala, Kerala, India",https://www.khaleejtimes.com/nation/umm-al-quwain/indian-seeks-amnesty-from-a-hospital-bed-in-uae
779442063,20180815,-0.922872961251605,18,10.0,76.5,"Kerala, Kerala, India",https://www.khaleejtimes.com/nation/umm-al-quwain/indian-seeks-amnesty-from-a-hospital-bed-in-uae
779442064,20180815,-1.9127584902458,6,9.26667,76.7833,"Pathanamthitta, Kerala, India",https://www.khaleejtimes.com/nation/umm-al-quwain/indian-seeks-amnesty-from-a-hospital-bed-in-uae
779447087,20180815,-3.39943342776204,4,10.0,76.5,"Kerala, Kerala, India",https://www.hindustantimes.com/punjab/kerala-nun-rape-kerala-cops-question-jalandhar-bishop-for-9-hours/story-e2hh2K8ZZAsbKVcVWAnhdI.html
779447455,20180815,-3.39943342776204,1,11.8333,75.5667,"Kottayam, Kerala, India",https://www.hindustantimes.com/punjab/kerala-nun-rape-kerala-cops-question-jalandhar-bishop-for-9-hours/story-e2hh2K8ZZAsbKVcVWAnhdI.html
779447457,20180815,-3.39943342776204,4,10.0,76.5,"Kerala, Kerala, India",https://www.hindustantimes.com/punjab/kerala-nun-rape-kerala-cops-question-jalandhar-bishop-for-9-hours/story-e2hh2K8ZZAsbKVcVWAnhdI.html
